giaovien,mappct,mamon,lop,tuan,tietthu,tenbaihoc
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,1,1,Bài 1. Tập hợp
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,1,2,Bài 2. Cách ghi số tự nhiên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,1,3,Bài 3. Thứ tự trong tập hợp các số tự nhiên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,2,4,Bài 4. Phép cộng và phép trừ số tự nhiên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,2,"5,6",Bài 5. Phép nhân và phép chia số tự nhiên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,3,7,Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,3,"8,9",Bài 6. Luỹ thừa với số mũ tự nhiên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,4,10,Bài 7. Thứ tự thực hiện các phép tính
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,4,11,Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,4,12,Bài tập cuối chương I
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,5,"13,14",Bài 8. Quan hệ chia hết và tính chất
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"5,6","15,16",Bài 9. Dấu hiệu chia hết
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,6,"17,18",Bài 10. Số nguyên tố
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,7,19,Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,7,"20,21",Bài 11. Ước chung. Ước chung lớn nhất
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,8,"22,23",Bài 12. Bội chung. Bội chung nhỏ nhất
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,8,24,Ôn tập giữa kì I
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,9,"25,26",Kiểm tra giữa kì I
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,9,27,Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,10,28,Bài tập cuối chương II
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"10,11","29,30",Bài 13. Tập hợp các số nguyên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"11,12","31,32,33",Bài 14. Phép cộng và phép trừ số nguyên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,13,34,Bài 15. Quy tắc dấu ngoặc
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"13,14","35,36",Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"14,15","37,38",Bài 16. Phép nhân số nguyên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,15,39,Bài 17. Phép chia hết. Ước và bội của một số nguyên
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,16,40,Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,16,41,Ôn tập học kì I
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,17,42,Luyện tập chung
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,17,43,Bài tập cuối chương III
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,18,"44,45",Bài 23. Mở rộng phân số. Phân số bằng nhau
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,19,"46,47",Bài 24. So sánh phân số. Hỗn số dương
Đỗ Thị Hoàng Khanh,PPCT_Toan6,TOAN,6,"19,20","48,49",Luyện tập chung
